PCNum,App_ID,Yr,FarmName,CurrentNVNum,FarmAddCity,Email,FarmAddZip,Production,Crops
1534,2254,2021,Lambert Farm,,Reno,Lambertfarmreno@gmail.com,89510,"Produce, ","Pumpkin-Carving, "
1528,2248,2021,The Bramble Farm,,Spanish Springs,Brian.markowski@gmail.com,89441,"Produce, Eggs, Bees, ","Beet, Basil, Lettuce-Blend/mix, "
144,2247,2021,BLOOMIN' DESERT HERB FARM,GIBSRAN-18,HENDERSON,bloomindesert1@yahoo.com,89002,"Produce, ","Asparagus, Basil, Nasturtium, Calendula, Chamomile, Dill, Lemon Balm, Fennel, Sorrel, Cut flowers, Garlic-Softneck, Lavender, Tomato, Stevia, Cauliflower, Pepper-hot, Eggplant, Pepper-Bell, Pepper-Sweet, Herbs, Carrot, Onion, Spinach, Okra, Parsley, Sunflower, Chard, Pumpkin, Cabbage, Lemongrass, Peach, "
1527,2246,2021,Sunburst plant Nursery ,,Spring Creek,samuelswisher0@gmail.com,89801,"Floriculture, ","Annual, "
1526,2245,2021,Biggest Little Microgreens,,RENO,BiggestLittleMicrogreens@gmail.com,89503,"Produce, ","Microgreens, "
1525,2244,2021,Western Aquaponics LLC,,Las Vegas,alvinchen@westernaquaponics.com,89147,"Produce, Aquaculture, Hydroponics, ","Cilantro, Basil, Lettuce-Romaine, "
442,2243,2021,Parkin Family Farms,PARKCHA-17,Las Vegas,CParkin@ParkinGroup.net,89146-5344,"Poultry, Eggs, ",
1524,2242,2021,Rodney Mehring,,Caliente,rodneydm2003@yahoo.com,89008,"Produce, Agritourism, ","Lettuce-Blend/mix, Beet, Turnip, Spinach, Tomato, Cucumber, Strawberry, Green Beans, Pumpkin-Carving, Cabbage, Potato-Purple, Pepper-Bell, Pepper-hot, Green Onions, Lettuce-Romaine, Onion, Watermelon, Cantaloupe, "
1523,2241,2021,Rosedale,,Yerington ,kimzink@yahoo.com,89447,"Eggs, ",
279,2240,2021,Silver Sage Honey,Nealama-18,Springcreek,Silversagehoney@hotmail.com,89815,"Bees, ",
742,2237,2021,Macondo Farm,742,Reno,adrianna.marinn@gmail.com,89511,"Produce, Eggs, ","Apple, Pear, Peach, Cilantro, Mint, Herbs, Grape, Lavender, Mint, Cherry, Garlic-Elephant, "
1518,2233,2021,kirk farm,1518,Pahrump,kirk_dwight@yahoo.com,89060,"Produce, ","Tomato, Kale, Cucumber, Eggplant, Squash, "
327,2230,2021,Desert Bloom Eco Farm,ANDRCL-18,Pahrump,claudia.andracki@gmail.com,89061,"Produce, Eggs, Bees, ","Arugula, Asparagus, Baby Arugula, Baby Green Sorrel, Baby Red Russian Kale, Banana, Basil, Beet, Broccoli, Broccolini, Cabbage, Calendula, Cantaloupe, Carrot, Celery, Chamomile, Chard, Chicory, Chives, Cilantro, Crookneck, Cucumber, Edible Flowers, Eggplant, Fennel, Garlic Chives, Garlic-Hardneck, Garlic-Softneck, Grape, Green Incised, Green Oak Leaf, Herbs, Indeterminate, Jalapeno, Kale, Kohlrabi, Lavender, Lemongrass, Lollo, Melon, Nasturtium, Onion, Parsley, Patty pan, Pea Shoots, Pepper-Bell, Pepper-hot, Pepper-Sweet, Petite Red Kitten Spinach, Petite Red Vein Sorrel, Pomegranate, Purslane, Radish, Red Lollo Rossa, Shiso, Spinach, Sunflower, Squash, Squash Blossoms, Tomato, Turnip, Various Greens, Watermelon, Zucchini, Lettuce-Blend/mix, Strawberry, "
420,2228,2021,Bees4Vets,,Reno,ginger@bees4vets.org,89502,"Bees, ",
1515,2227,2021,Bunches and Bunches flower farm,,Gardnerville ,bunchesandbunchesflowerfarm@yahoo.com,89460,"Floriculture, ","Cut flowers, "
1514,2226,2021,Rural Health and Nutrition Initiative,,Dayton,cortney@hcclsc.org,89403,"Produce, ","Tomato, Arugula, Beans (harvested green, Beet, Broccoli, Brussels Sprouts, Cabbage, Carrot, Cauliflower, Chives, Cucumber, Pepper-hot, Pepper-Sweet, Kale, Lettuce, Okra, Parsnip, Pea, Radicchio, Shiso, Spinach, Squash, Chard, Tomatillo, Watermelon, Basil, Cilantro, Parsley, Calendula, Nasturtium, Strawberry, "
1504,2215,2021,Boland Urban Farm,,Reno,oswshroomery@gmail.com,89509,"Produce, ","Mushrooms , "
858,2200,2021,Petals and Pages Flower Farm LLC,858,Fernley,hello@petalsandpagesflowers.com,89408,"Floriculture, ","Cut flowers, "
448,2196,2021,Flying Kat Ranch LLC,918,Gardnerville,doornailw@gmail.com,89460,"Agritourism, Floriculture, Bees, ","Lavender, "
1487,2195,2021,Biggest Little Farm,,Reno,lisa4461@gmail.com,89519,"Produce, Eggs, ","Apple, Beet, Blackberries, Broccoli, Cucumber, Lettuce, Raspberry-Red, "
1484,2191,2021,Robert Dexter,,Fallon,dexterfarms@hotmail.com,89406,"Produce, ","Alfalfa, Cantaloupe, Corn, Jalapeno, Kabocha, Pepper-Sweet, Pumpkin, Tomato, winter squash, "
1143,2190,2021,Holley Family Farms,,Dayton,holleyfamilyfarms@yahoo.com,89403,"Cattle, Sheep, Swine, Produce, Certified Organic, Eggs, ","Arugula, Spinach, Chard, Lettuce, Kale, Tomato, Pepper-Sweet, Radish, Pepper-hot, Squash, Beans (harvested green, Garlic-Softneck, Eggplant, Carrot, "
896,2189,2021,High Sierra Microgreens,KELLLUK,Reno,highsierramicrogreens@hotmail.com,89511,"Produce, ","Microgreens, "
1480,2185,2021,Shelly's Lavender Farm,,SANDY VALLEY,shellyfox068@aol.com,89019,"Produce, Floriculture, Eggs, ","Herbs, Lavender, Mint, "
211,2181,2021,Down the Mountain Farmstead,SEGOWE-19,Gerlach ,downthemountainfarmstead@gmail.com,89142,"Cattle, Goats, Swine, Produce, Vitaculture, Poultry, Eggs, ","Arugula, Broccoli, Chard, Herbs, Kale, Kohlrabi, Pea, Radish, Spinach, Beet, Corn, Cucumber, Eggplant, Garlic-Hardneck, Leeks, Onion, Squash, Tomato, Cucumber, Kale, Chard, Lettuce, Squash, Zucchini, Corn, Potato, Squash, Apple, Collard Greens, Pumpkin, Grape, Pak Choi, "
412,2178,2021,Sierra Nevada Homestead,,Minden,ssnlrdotts@gmail.com,89423,"Eggs, Bees, ",
1475,2177,2021,SUKIE'S MICROGREEN FARMETTE ,,SPARKS ,sukiesmicrogreenfarmette@gmail.com,89431,"Produce, ","Arugula, Basil, Broccoli, Cabbage, Cilantro, Daikon, Kale, Sunflower Greens, Mustard Greens, Microgreens, "
237,2174,2021,MisBeeHaven Farm,239,Dayton,beekeeperhaven@gmail.com,89403,"Produce, Bees, ","Tomato, Green Onions, Zucchini, Parsley, "
1468,2169,2021,702Greens,,Las Vegas,shaans012@gmail.com,89102,"Produce, Grains, ","Pea Shoots, Sunflower, Radish, Bak Choi, Amaranth, "
428,2168,2021,2 Raven Farms,,Fallon,sammonski@yahoo.com,89406,"Forage, Floriculture, ","Pepper-hot, Tomato, Cut flowers, Herbs, winter squash, Peach, Apple, Apple, Jerusalem Artichoke, "
1467,2167,2021,No BS Farm,,Fernley,alwayssmile58@gmail.com,89408,"Produce, Eggs, ","Tomato, Watermelon, Pepper-Bell, Cucumber, Zucchini, Basil, "
407,2164,2021,Park Farm,407,Reno,info@renofoodsystems.org,89509,"Produce, Agritourism, ","Tomato, Cucumber, winter squash, Pumpkin, Zucchini, Beans (harvested green, Pepper-hot, Eggplant, Basil, Kale, Chard, Cabbage, Collard Greens, Tomatillo, Arugula, Beet, Carrot, Parsnip, Turnip, Potato, Radish, Squash, Mustard Greens, Asian Greens , Herbs, Cut flowers, Pepper-Bell, Pepper-hot, Pepper-Sweet, Garlic-Hardneck, Garlic-Softneck, Onion, "
312,2163,2021,Rusty Skillet Ranch,CHAMJAC-18,Reno,jaci@rustyskilletranch.com,89508,"Poultry, Eggs, Bees, ",
1464,2162,2021,Big Horn Farm and Flower Ranch,,Pahrump,kimkchristi@gmail.com,89061,"Produce, Floriculture, Eggs, ","Asian Greens , Arugula, Basil, Beet, Bak Choi, Beans (harvested green, Carrot, Eggplant, Cucumber, Lettuce-Blend/mix, Tomato, Herbs, Pepper-Bell, Radish, Okra, Squash, Pepper-hot, Microgreens, Spinach, Turnip, "
809,2159,2021,509 Flowers,,Reno,dmerrielle@gmail.com,89509,"Floriculture, ","Cut flowers, "
1461,2158,2021,Peak Honey Co.,,Pahrump ,rodrigaa702@gmail.com,89061,"Bees, ",
1459,2154,2021,Horseshoe Homestead,,Las Vegas,adek98226@yahoo.com,89120,"Eggs, ",
1457,2152,2021,Vegas Valley Mushrooms,,North Las Vegas,Vegasvalleymushrooms@gmail.com,89031,"Produce, ","Mushrooms , "
758,2150,2021,Gardenzilla Produce,758,Spring Creek,GardenzillaProduce@gmail.com,89815,"Produce, ","Zucchini, Arugula, Asparagus, Asian Greens , Baby Arugula, Baby Bak Choy, Baby Red Russian Kale, Bak Choi, Basil, Beans (harvested green, Beet, Artichoke, Broccoli, Brussels Sprouts, Cabbage, Cantaloupe, Carrot, Cauliflower, Celery, Chard, Chili pepper, Chinese Cabbage, Chives, Cilantro, Cool Season Legumes, Corn, Cucumber, Dill, Endive - Frisee, Escarole, Endive, Fennel, Garlic Chives, Garlic-Elephant, Garlic-Hardneck, Garlic-Softneck, Gherkin, Gourd, Green Beans, Green Butterhead Lettuce, Green Oak Leaf, Green Onions, Greenhouse, Lettuce-Green leaf , Microgreens, Mustard Greens, Various Greens, Pickling , Lettuce-Blend/mix, Lettuce-Red leaf, Lettuce-Iceberg, Lettuce-Romaine, Herbs, Heirloom, Jalapeno, Kale, Kohlrabi, Leeks, Luffa, Melon, Mint, Onion, Parsley, Pea, Pepper-Bell, Pepper-hot, Pepper-Sweet, Potato, Pumpkin, Spinach, Radish, Scallion, Shallots, Squash, winter squash, Sprouts, Tomato, Tomatillo, Turnip, Watermelon, "
1242,2147,2021,Homestead Farm,,Pahrump,willbond4512@Yahoo.com,89048,"Produce, ","Pomegranate, Pumpkin, Watermelon, Cantaloupe, Tomato, Potato, Lettuce, Onion, Microgreens, Squash, Chard, "
1155,2145,2021,"Wade Workman, Workman Farms",1155,Fallon,workmanfarmsproduce@yahoo.com,89406,"Produce, Floriculture, Eggs, ","Cantaloupe, Cucumber, Green Beans, Apricot, Basil, Watermelon, Pepper-Bell, Pepper-Sweet, Pepper-hot, Dill, Onion, Tomato, Corn, Eggplant, Potato, Cilantro, Squash, Chard, Melon, Garlic-Hardneck, Garlic-Softneck, Strawberry, Rhubarb, Pumpkin, Beet, Lettuce, Cherry, Herbs, Cut flowers, "
1453,2144,2021,Yellow Cat Farms LLC,,Yerington,searbydonna@gmail.com,89447,"Produce, ","Beans (harvested green, Tomatillo, Chard, Tomato, Onion, Pepper-hot, Corn, "
26,2140,2021,Fisk Farm,FISKSTA,Fallon,fiskstacy@yahoo.com,89406,"Produce, Bees, ","Herbs, Oats, Calendula, Parsley, Cilantro, Lemon Balm, Chamomile, Basil, Dill, Garlic Chives, Chives, Lavender, Beans (dry, edible for grains), Potato-Red, Potato-Yellow, Potato-White, Tomato, Melon, "
1449,2138,2021,Blue Lobster Farm,,Las Vegas,kathleenbrookins@yahoo.com,89115,"Aquaculture, ",
461,2135,2021,north valley sunshine farm,DESTTER-17,Reno ,josephd@unr.edu,89506,"Produce, ","Tomato, Cucumber, Apple, Asparagus, Baby Red Russian Kale, Basil, Beet, Carrot, Chives, Dill, Edible Flowers, Garlic-Hardneck, Horseradish, Jerusalem Artichoke, Lavender, Onion, Pea, Pepper-hot, Potato, Pumpkin, Squash, Watermelon, Melon, Radish, Sunflower, "
1445,2132,2021,Desert Rose,,Las Vegas,caseywiesel@me.com,89166,"Produce, ","Garlic-Softneck, "
159,2131,2021,"Tahoe Living Greens, LLC",JOHNRIC,Reno,tahoelivinggreens@gmail.com,89511,"Produce, Hydroponics, ","Microgreens, Microgreens, "
546,2124,2021,Flying Bee Ranch,,Reno,lloydrpearson@gmail.com,89521,"Bees, ",
228,2122,2021,Cherry Dog Orchards,SWEETER18,Fallon,karen@redcarpetdmc.com,89406,"Produce, Eggs, ","Apple, Grape, Peach, Plum, Apricot, Raspberry-Black, Raspberry-Red, Tomato, Pepper-hot, Cucumber, Squash, Cherry, "
499,2117,2021,KikkinJ Farms,464,Stagecoach,kikkinj@aol.com,89429,"Produce, Eggs, ","winter squash, Tomato, Cucumber, Beans (harvested green, Tomatillo, "
1436,2116,2021,MaGee Urban Farm,,Pahrump,pcfcblue@yahoo.com,89048,"Produce, ","Tomato, Okra, Cucumber, Pepper-Bell, "
1435,2115,2021,Los Pobres,,Winnemucca,chavezfamilia9401@outlook.com,89445,"Sheep, Swine, Produce, Poultry, Eggs, ","Bean, Herbs, Potato, Tomato, Tomatillo, Cucumber, Carrot, Chili pepper, Jalapeno, Edible Flowers, Onion, Garlic-Softneck, Zucchini, winter squash, Radish, Sweet potato, "
1126,2114,2021,AAH Gardens,1590,Pahrump,BFF@bestfriendsfarms.com,89060,"Produce, Floriculture, ","Luffa, Watermelon, Cantaloupe, Melon, Tomato, Cucumber, Chili pepper, Honeydew, Jalapeno, Herbs, Mushrooms , Other, "
293,2113,2021,Ogan Family Farm,ogannan-18,Wellington,oganfamilyfarm@aol.com,89444,"Goats, Dairy, Swine, Produce, Floriculture, Poultry, Eggs, Bees, ","Beet, Herbs, Broccoli, Cabbage, Cauliflower, Corn, Cucumber, Kale, Kohlrabi, Leeks, Lettuce, Melon, Onion, Pea, Chili pepper, Pumpkin, Spinach, Chard, Tomato, Garlic-Hardneck, Jerusalem Artichoke, Carrot, Radish, Potato, Squash, Shallots, "
147,2109,2021,Victorian Gardens,VANSLES-18,Las Vegas ,vansclm@nv.ccsd.net,89148,"Produce, ","Apple, Artichoke, Asparagus, Beans (harvested green, Beet, Broccoli, Cabbage, Carrot, Cauliflower, Chard, Collard Greens, Kale, Garlic-Hardneck, Dill, Herbs, Kohlrabi, Lavender, Lettuce, Melon, Orange, Onion, Peach, Potato, Pumpkin, Radish, Raspberry-Black, Spinach, Strawberry, Sunflower, Sweet potato, Turnip, Tomato, Watermelon, Zucchini, Grape, Plum, Apricot, "
314,2108,2021,D & D Farm,GAYDEB-18,Winnemucca,debbie.gay@sbcglobal.net,89445,"Produce, Eggs, ","Jalapeno, Basil, Zucchini, Cucumber, Squash, Pepper-Bell, Watermelon, Cauliflower, Broccoli, Cantaloupe, Tomato, "
1164,2106,2021,Shaka Roots,,NORTH LAS VEGAS,gratitude.prosperity7@gmail.com,89031-3603,"Produce, ","Microgreens, Radish, Sunflower Greens, Kohlrabi, Arugula, Mustard Greens, Alfalfa, Kale, Pea Shoots, Broccoli, Wheatgrass, Buckwheat, "
1219,2103,2021,Blair's Family Farm,1736,Fallon,george.blair@gmail.com,89406,"Produce, Poultry, Eggs, ","Blackberries, Blueberries, Cherry, Pear, Cantaloupe, Tomato, Apple, "
517,2101,2021,Cluck It Farm,,Las Vegas,amanda@cluckitfarmlv.com,89130,"Produce, Eggs, ","Corn, Tomato, Okra, Squash, Eggplant, Beans (harvested green, Pepper-Bell, Pepper-hot, Carrot, Lettuce-Blend/mix, Microgreens, Spinach, Radish, "
289,2100,2021,Andelin Family Farm,ANDENAT,Sparks,andelinfamilyfarm@gmail.com,89436,"Produce, Agritourism, Eggs, ","Carrot, Pea, Beans (harvested green, Cilantro, Cabbage, Cantaloupe, Corn, Tomato, Pepper-Bell, Watermelon, Squash, winter squash, Gourd, Pumpkin-Carving, Pumpkin-Pie, Onion, Potato, "
1227,2098,2021,Brunningwood Homestead,1227,Silver Springs,brunningwood@gmail.com,89429,"Goats, Swine, Poultry, Eggs, ",
261,2097,2021,From The Earth,926,Independence Valley,behicks11@gmail.com,89835,"Eggs, ",
1159,2095,2021,Sterling Farms,1636,Reno,jls_schedules@yahoo.com,89511,"Produce, Hydroponics, ","Basil, Tomato, "
1137,2091,2021,Appily Ever After Farms,,Yerington,Leannaraemoore@gmail.com,89447,"Goats, Produce, Floriculture, Poultry, Eggs, ","Apple, Apricot, "
730,2088,2021,Garden Farms of Nevada LLC,1430,North Las Vegas,bryan@gardenfarms.net,89031,"Produce, ","Apricot, Apple, Arugula, Tomato, Beet, Beans (harvested green, Asparagus, Baby Bak Choy, Broccoli, Artichoke, Herbs, Various Greens, Cabbage, Melon, Carrot, Cauliflower, Celery, Cool Season Legumes, Corn, Cucumber, Cut flowers, Eggplant, Garlic-Hardneck, Garlic-Softneck, Onion, Parsnip, Pepper-Bell, Pepper-hot, Pepper-Sweet, Radish, Rutabaga, Squash, Strawberry, Sweet potato, Tomatillo, Turnip, Zucchini, Peach, Grape, Lemons, Grapefruit, Nectarines, Fig, Orange, Kumquat, Mandarin, "
379,2087,2021,Rebel Pioneer ,connmol-18,Reno,dzhfamily2012@gmail.com,89508,"Eggs, ",
1068,2084,2021,7R Producers LLC,,Tuscarora,7rproduce@gmail.com,89834,"Produce, ","Apple, Collard, Spinach, Kale, Swiss, Cabbage, Radish, Beet, Lettuce, Carrot, Onion, Pepper-Bell, Squash Blossoms, Pea, Corn, "
356,2082,2021,ou nuts,OUMEI-18,Pahrump,rthaxton@pahrump.net,89060,"Produce, ","Almonds, Apple, Apricot, Blackberries, Chili pepper, Jujube Tree, Cucumber, Eggplant, Gourd, Grape, Herbs, Lime, Loquat, Mandarin, Melon, Nectarines, Peach, Pear, Pistachio, Plum, Pomegranate, Pumpkin-Specialty, Squash, Pepper-Sweet, Sweet potato, Tomato, Tomatillo, Zucchini, Artichoke, Bay Laurel Tree, Beans (harvested green, Beans (dry, edible for grains), Beet, Cantaloupe, Carrot, Cherry, Corn, Fig, Garlic-Hardneck, Garlic Chives, Garlic-Elephant, Lettuce, Okra, Onion, Pak Choi, Pea, Pecan Tree, Radish, Daikon, Asian Melon, "
746,2078,2021,Sassy Jack's ,1021,Carson City,jacki@sassyjacksbeetique.com,89701,"Bees, ",
1426,2077,2021,High Sierra Farm,,washoe valley,sar-2112@hotmail.com,89704,"Eggs, ",
845,2076,2021,Jiji's Farm,1530,Wellington ,mrsrie63@msn.com,89444,"Produce, Bees, ","Apple, Apricot, Blackberries, Blueberries, Boysenberry, Raspberry-Red, Cherry, Grape, Nectarine, Peach, Pear, Persimmon, Plum, Strawberry, "
138,2075,2021,Pick'n and Grin'n Produce Stand,138,Fallon ,l2051p@yahoo.com,89406,"Produce, ","Lettuce, Chard, Radish, Beet, Cucumber, Fennel, Onion, Squash, Tomato, Turnip, Watermelon, Cantaloupe, Beans (harvested green, Pepper-Bell, Pepper-hot, Parsley, Garlic-Softneck, Scallion, Rhubarb, Asparagus, Broccoli, Baby Red Russian Kale, Chard, Fennel, Carrot, Green Beans, Pea, Onion, Green Onions, Shallots, Various Greens, Spinach, Arugula, Chinese Cabbage, Cabbage, Parsley, Melon, Cantaloupe, Tomato, Corn, Tomatillo, Brussels Sprouts, Beet, Pepper-Bell, Chili pepper, Pepper-hot, Pepper-Sweet, Squash, winter squash, Jerusalem Artichoke, Cucumber, Watermelon, Radish, Garlic-Softneck, Dill, Turnip, Eggplant, "
788,2073,2021,Hilltop Farm,788,Virginia City,hilltopfarmnv@hotmail.com,89440,"Swine, Produce, Poultry, Eggs, Bees, ","Cabbage, Kale, Eggplant, Lettuce, Mustard Greens, Okra, Pepper-hot, Pepper-Sweet, Tomato, Cucumber, Squash, winter squash, Onion, Garlic-Softneck, Chives, Pumpkin, Chard, Sweet potato, Potato, Basil, Parsley, "
971,2072,2021,Loco Sano Greens LLC ,971,Las Vegas,locosanogreens@gmail.com,89123,"Produce, ","Alfalfa, Amaranth, Baby Bak Choy, Bak Choi, Baby Red Russian Kale, Beet greens, Broccoli, Cantaloupe, Celery, Chard, Cilantro, Corn Shoots, Chives, Kale, Kohlrabi, Microgreens, Mizuna, Mustard, Onion, Pea Shoots, Purslane, Radish, Shiso, Various Greens, Asian Greens , Wheatgrass, Sunflower Greens, Lettuce, "
87,2071,2021,Great Basin Eggs,BURKSEA-19,Reno,sboyinreno@yahoo.com,89506,"Eggs, ",
1092,2070,2021,Heidi Thompson,1092,Wellington,mysteryetching@yahoo.com,89444-9329,"Cattle, Goats, Produce, Hydroponics, Eggs, ","Tomato, Kale, Spinach, Cucumber, Green Onions, Zucchini, Patty pan, Pumpkin, winter squash, Herbs, Green Beans, Cabbage, Bak Choi, Basil, "
1161,2068,2021,Caridad Gardens,1161,Las Vegas,merideth@caridadcharity.com,89101,"Hydroponics, ","Radish, Kale, Lettuce-Butterhead, Basil, Mint, "
404,2066,2021,Oasis Valley Orchard,PEERALE-18,Overton,oasisvalleyorchard@gmail.com,89040,"Produce, ","Pomegranate, Mullberry, Mullberry, Apricot, Apple, Pistachio, Grape, "
740,2065,2021,UNCE Research Center & Demonstration Orchard,UNCE-18,North Las Vegas,lvmastergardeners@gmail.com,89131,"Produce, Agritourism, Hydroponics, Vitaculture, Bees, ","Almonds, Apple, Apricot, Dates, Fig, Grape, Mullberry, Nectarines, Peach, Pear, Persimmon, Plum, Pomegranate, Cucumber, Garlic-Elephant, Garlic-Hardneck, Hops, Lettuce, Okra, Green Onions, Onion, Melon, Watermelon, Pepper-Bell, Pepper-hot, Pepper-Sweet, Chili pepper, Pumpkin, Squash, winter squash, Sweet potato, Radish, Tomato, Tomatillo, Spinach, Arugula, Kale, Chard, Turnip, Carrot, Artichoke, Asparagus, Beet, Parsnip, Herbs, Lemongrass, Beans (harvested green, Broccoli, Cauliflower, Cabbage, Collard Greens, Corn, Eggplant, Jujube Tree, "
681,2064,2021,Reno Living Microgreens,,Reno,charlenej@charter.net,89509,"Hydroponics, ","Microgreens, "
973,2063,2021,The Prickly Poppy ,,Reno,Kelkeldesigns@gmail.com,89511,"Produce, ","Herbs, "
761,2060,2021,Ruskamp-White Residence,761,Las Vegas,donaldjwhite@gmail.com,89143,"Produce, Vitaculture, ","Lemons, Grape, Apple, "
411,2058,2021,Four Stones Farm,FEATJOH,Spring Creek,fourstonesfarm@gmail.com,89815,"Produce, Floriculture, ","Rhubarb, Sunflower, Patty pan, Dill, Jalapeno, Horseradish, winter squash, Watermelon, Pumpkin, Tomato, Cucumber, Herbs, Plum, Cherry, Apple, Chard, Garlic-Hardneck, Zucchini, "
222,2056,2021,Lattin Farms LLC,,Fallon,lattinfarmsnevada@gmail.com,89406,"Produce, Agritourism, Floriculture, Eggs, ","Garlic-Softneck, Rhubarb, Herbs, Onion, winter squash, Pumpkin, Cucumber, Corn, Beans (harvested green, Okra, Gourd, Melon, Tomato, Tomatillo, Raspberry-Red, Blackberries, Pepper-Bell, Eggplant, Grape, Artichoke, Squash, Cut flowers, Walnut, Asparagus, "
1235,2053,2021,Desert Moon Farms,,Las Vegas,Admin@DesertMoonFarms.com,89030,"Produce, ","Mushrooms , "
856,2051,2021,QT Greens,856,Las Vegas,quiramtay@gmail.com,89106,"Produce, Hydroponics, ","Arugula, Broccoli, Beet greens, Cress, Kohlrabi, Leeks, Mustard Greens, Pea Shoots, Radish, Wheatgrass, Nasturtium, Amaranth, Basil, Cilantro, Brussels Sprouts, Sunflower Greens, Corn Shoots, Chard, "
170,2050,2021,Desert Farming Initiative,170,Reno,cschembre@cabnr.unr.edu,89512,"Produce, Certified Organic, Floriculture, Vitaculture, ","Kale, Pumpkin, Onion, Herbs, Eggplant, winter squash, Turnip, Zucchini, Radish, Melon, Tomato, Lettuce-Blend/mix, Raspberry-Red, Pepper-hot, Pepper-Sweet, Garlic-Hardneck, Beet, Cucumber, Chard, Carrot, Cabbage, Arugula, Broccoli, Potato, "
955,2048,2021,Enlightened Eateries and Services LLC,CLARJES,las vegas,jessicatravi0@gmail.com,89104,"Produce, Hydroponics, ","Microgreens, Mushrooms , Sprouts, Lettuce, Herbs, "
814,2047,2021,BraunDo Bees LLC,814,Reno,braundobees@gmail.com,89503,"Bees, ",
